Name:     Description:
wacko     "Wacko"
twotiger  "Two Tigers"
journey   "Journey"
tapper    "Tapper"
timber    "Timber"
dotron    "Discs of Tron"
destderb  "Demolition Derby"
sarge     "Sarge"
rampage   "Rampage"
powerdrv  "Power Drive"
maxrpm    "Max RPM"
spyhunt   "Spy Hunter"
turbotag  "Turbo Tag"
crater    "Crater Raider"
zwackery  "Zwackery"
xenophob  "Xenophobe"
spyhunt2  "Spy Hunter 2"
blasted   "Blasted"
archrivl  "Arch Rivals"
trisport  "Tri-Sports"
pigskin   "Pigskin 621AD"
sentetst  "Sente Diagnostic Cartridge"
cshift    "Chicken Shift"
gghost    "Goalie Ghost"
hattrick  "Hat Trick"
otwalls   "Off the Wall"
snakepit  "Snake Pit"
snakjack  "Snacks'n Jaxson"
stocker   "Stocker"
triviag1  "Trivial Pursuit"
triviag2  "Trivial Pursuit"
triviasp  "Trivial Pursuit"
triviayp  "Trivial Pursuit"
triviabb  "Trivial Pursuit"
gimeabrk  "Gimme A Break"
minigolf  "Mini Golf"
toggle    "Toggle"
nametune  "Name That Tune"
nstocker  "Night Stocker"
sfootbal  "Street Football"
spiker    "Spiker"
rescraid  "Rescue Raider"
skychut   "Sky Chuter"
mpatrol   "Moon Patrol"
troangel  "Tropical Angel"
yard      "10 Yard Fight"
travrusa  "Traverse USA / Zippy Race"
kungfum   "Kung Fu Master"
battroad  "Battle-Road, The"
ldrun     "Lode Runner"
ldrun2    "Lode Runner II - The Bungeling Strikes Back"
ldrun3    "Lode Runner III - Majin No Fukkatsu"
ldrun4    "Lode Runner IV - Teikoku Karano Dasshutsu"
lotlot    "Lot Lot"
kidniki   "Kid Niki - Radical Ninja"
spelunkr  "Spelunker"
spelunk2  "Spelunker II"
vigilant  "Vigilante"
kikcubic  "Meikyu Jima"
rtype     "R-Type"
bchopper  "Battle Chopper"
nspirit   "Ninja Spirit"
imgfight  "Image Fight"
loht      "Legend of Hero Tonma"
xmultipl  "X Multiply"
dbreed    "Dragon Breed"
rtype2    "R-Type II"
majtitle  "Major Title"
hharry    "Hammerin' Harry"
gallop    "Gallop - Armed police Unit"
sichuan2  "Sichuan II"
bmaster   "Blade Master"
gunforce  "Gunforce - Battle Fire Engulfed Terror Island"
hook      "Hook"
mysticri  "Mystic Riders"
uccops    "Undercover Cops"
rtypeleo  "R-Type Leo"
majtitl2  "Major Title 2"
inthunt   "In The Hunt"
lethalth  "Lethal Thunder"
psoldier  "Perfect Soldiers"
dsoccr94  "Dream Soccer '94"
reactor   "Reactor"
mplanets  "Mad Planets"
qbert     "Q*bert"
sqbert    "Faster, Harder, More Challenging Q*bert"
krull     "Krull"
mach3     "M.A.C.H. 3"
usvsthem  "Us vs. Them"
3stooges  "Three Stooges"
qbertqub  "Q*bert's Qubes"
curvebal  "Curve Ball"
crbaloon  "Crazy Balloon"
qix       "Qix"
sdungeon  "Space Dungeon"
elecyoyo  "Electric Yo-Yo, The"
kram      "Kram"
zookeep   "Zoo Keeper"
spaceskr  "Space Seeker"
junglek   "Jungle King"
alpine    "Alpine Ski"
timetunl  "Time Tunnel"
wwestern  "Wild Western"
frontlin  "Front Line"
elevator  "Elevator Action"
tinstar   "Tin Star, The"
waterski  "Water Ski"
bioatack  "Bio Attack"
hwrace    "High Way Race"
sfposeid  "Sea Fighter Poseidon"
kikstart  "Kick Start Wheelie King"
bking2    "Birdie King 2"
gsword    "Great Swordsman"
lkage     "Legend of Kage, The"
retofinv  "Return of the Invaders"
tsamurai  "Samurai Nihon-ichi"
nunchaku  "Nunchackun"
yamagchi  "Go Go Mr. Yamaguchi / Yuke Yuke Yamaguchi-kun"
gladiatr  "Gladiator"
bublbobl  "Bubble Bobble"
tokio     "Tokio / Scramble Formation"
kicknrun  "Kick and Run"
kikikai   "KiKi KaiKai"
rastan    "Rastan"
rainbow   "Rainbow Islands"
arkanoid  "Arkanoid"
superqix  "Super Qix"
extrmatn  "Extermination"
arkanoi2  "Arkanoid - Revenge of DOH"
drtoppel  "Dr. Toppel's Tankentai"
chukatai  "Chuka Taisen"
tnzs      "Newzealand Story, The"
insectx   "Insector X"
kageki    "Kageki"
superman  "Superman"
fhawk     "Fighting Hawk"
raimais   "Raimais"
champwr   "Champion Wrestler"
puzznic   "Puzznic"
plotting  "Plotting"
palamed   "Palamedes"
horshoes  "American Horseshoes"
cachat    "Cachat"
ssi       "Super Space Invaders '91"
liquidk   "Liquid Kids"
growl     "Growl"
tigerh    "Tiger Heli"
slapfigh  "Slap Fight"
getstar   "Get Star"
fshark    "Flying Shark"
wardner   "Wardner"
twincobr  "Twin Cobra"
rallybik  "Rally Bike / Dash Yarou"
truxton   "Truxton / Tatsujin"
hellfire  "Hellfire"
zerowing  "Zero Wing"
demonwld  "Demon's World / Horror Story"
outzone   "Out Zone"
vimana    "Vimana"
snowbros  "Snow Bros. - Nick & Tom"
gyrodine  "Gyrodine"
sonofphx  "Son of Phoenix"
flashgal  "Flash Gal"
srdmissn  "S.R.D. Mission"
airwolf   "Air Wolf"
defender  "Defender"
mayday    "Mayday"
colony7   "Colony 7"
stargate  "Stargate"
robotron  "Robotron"
joust     "Joust"
bubbles   "Bubbles"
splat     "Splat!"
sinistar  "Sinistar"
blaster   "Blaster"
mysticm   "Mystic Marathon"
tshoot    "Turkey Shoot"
inferno   "Inferno"
joust2    "Joust 2 - Survival of the Fittest"
lottofun  "Lotto Fun"
vulgus    "Vulgus"
sonson    "Son Son"
higemaru  "Pirate Ship HigeMaru"
1942      "1942"
exedexes  "Exed Exes"
commando  "Commando"
gng       "Ghosts'n Goblins"
diamond   "Diamond Run"
gunsmoke  "Gun.Smoke"
sectionz  "Section Z"
trojan    "Trojan"
srumbler  "Speed Rumbler, The"
lwings    "Legendary Wings"
sidearms  "Side Arms - Hyper Dyne"
turtship  "Turtle Ship"
dyger     "Dyger"
avengers  "Avengers"
bionicc   "Bionic Commando"
1943      "1943 - The Battle of Midway"
blktiger  "Black Tiger"
sf1       "Street Fighter"
tigeroad  "Tiger Road"
f1dream   "F-1 Dream"
1943kai   "1943 Kai"
lastduel  "Last Duel"
madgear   "Mad Gear"
forgottn  "Forgotten Worlds"
ghouls    "Ghouls'n Ghosts"
strider   "Strider"
dwj       "Tenchi wo Kurau"
willow    "Willow"
unsquad   "UN Squadron"
ffight    "Final Fight"
1941      "1941 - Counter Attack"
mercs     "Mercs"
mtwins    "Mega Twins"
msword    "Magic Sword"
cawing    "Carrier Air Wing"
nemo      "Nemo"
sf2       "Street Fighter II - The World Warrior"
3wonders  "Three Wonders"
kod       "King of Dragons, The"
captcomm  "Captain Commando"
knights   "Knights of the Round"
sf2ce     "Street Fighter II' - Champion Edition"
varth     "Varth - Operation Thunderstorm"
cworld2j  "Capcom World 2"
wof       "Warriors of Fate"
dino      "Cadillacs and Dinosaurs"
punisher  "Punisher, The"
slammast  "Saturday Night Slam Masters"
pnickj    "Pnickies"
qad       "Quiz & Dragons"
qtono2    "Quiz Tonosama no Yabou 2 Zenkoku-ban"
pang3     "Pang! 3"
megaman   "Mega Man - The Power Battle"
sfzch     "Street Fighter ZERO"
mgakuen   "Mahjong Gakuen"
mgakuen2  "Mahjong Gakuen 2 Gakuen-chou no Fukushuu"
pkladies  "Poker Ladies"
dokaben   "Dokaben"
pang      "Pang"
cbasebal  "Capcom Baseball"
cworld    "Capcom World"
hatena    "Adventure Quiz 2 Hatena Hatena no Dai-Bouken"
spang     "Super Pang"
marukin   "Super Marukin-Ban"
qtono1    "Quiz Tonosama no Yabou"
qsangoku  "Quiz Sangokushi"
block     "Block Block"
capbowl   "Capcom Bowling"
bowlrama  "Bowl-O-Rama"
blockade  "Blockade"
comotion  "Comotion"
hustle    "Hustle"
blasto    "Blasto"
depthch   "Depthcharge"
safari    "Safari"
frogs     "Frogs"
sspaceat  "Space Attack"
headon    "Head On"
headon2   "Head On 2"
invho2    "Invinco / Head On 2"
samurai   "Samurai"
invinco   "Invinco"
invds     "Invinco / Deep Scan"
tranqgun  "Tranquilizer Gun"
spacetrk  "Space Trek"
carnival  "Carnival"
digger    "Digger"
pulsar    "Pulsar"
heiankyo  "Heiankyo Alien"
spacfury  "Space Fury"
zektor    "Zektor"
tacscan   "Tac/Scan"
elim2     "Eliminator"
startrek  "Star Trek"
astrob    "Astro Blaster"
005       "005"
monsterb  "Monster Bash"
spaceod   "Space Odyssey"
pignewt   "Pig Newton"
sindbadm  "Sindbad Mystery"
zaxxon    "Zaxxon"
szaxxon   "Super Zaxxon"
futspy    "Future Spy"
razmataz  "Razzmatazz"
congo     "Congo Bongo"
starjack  "Star Jacker"
regulus   "Regulus"
upndown   "Up'n Down"
mrviking  "Mister Viking"
swat      "SWAT"
flicky    "Flicky"
bullfgtj  "Tougyuu, The"
pitfall2  "Pitfall II"
seganinj  "Sega Ninja"
imsorry   "I'm Sorry"
teddybb   "TeddyBoy Blues"
hvymetal  "Heavy Metal"
myhero    "My Hero"
shtngmst  "Shooting Master"
chplft    "Choplifter"
4dwarrio  "4-D Warriors"
brain     "Brain"
wboy      "Wonder Boy"
gardia    "Gardia"
blockgal  "Block Gal"
tokisens  "Toki no Senshi - Chrono Soldier"
wbml      "Wonder Boy in Monster Land"
dakkochn  "DakkoChan Jansoh"
ufosensi  "Ufo Senshi Yohko Chan"
turbo     "Turbo"
suprloco  "Super Locomotive"
champbas  "Champion Baseball"
champbb2  "Champion Baseball II"
appoooh   "Appoooh"
bankp     "Bank Panic"
alexkidd  "Alex Kidd"
astorm    "Alien Storm"
eswat     "E-Swat"
enduror   "Enduro Racer"
fpoint    "Flash Point"
moonwalk  "Moon Walker"
passsht   "Passing Shot"
shangon   "Super Hang-On"
tetris    "Tetris"
aliensyn  "Alien Syndrome"
altbeast  "Altered Beast"
atomicp   "Atomic Point"
aurail    "Aurail"
bayroute  "Bay Route"
bodyslam  "Body Slam"
dduxbl    "Dynamite Dux"
fantzone  "Fantasy Zone"
goldnaxe  "Golden Axe"
hangon    "Hang-On"
hwchamp   "Heavyweight Champ"
mjleague  "Major League"
outrun    "Out Run"
quartet   "Quartet"
riotcity  "Riot City"
sdi       "SDI - Strategic Defense Initiative"
sharrier  "Space Harrier"
shdancer  "Shadow Dancer"
shinobi   "Shinobi"
timscanr  "Time Scanner"
tturf     "Tough Turf"
wb3       "Wonder Boy III - Monster Lair"
wrestwar  "Wrestle War"
lnc       "Lock'n'Chase"
zoar      "Zoar"
btime     "Burger Time"
wtennis   "World Tennis"
brubber   "Burnin' Rubber"
disco     "Disco No.1"
mmonkey   "Minky Monkey"
astrof    "Astro Fighter"
tomahawk  "Tomahawk 777"
kchamp    "Karate Champ"
firetrap  "Fire Trap"
brkthru   "Break Thru"
darwin    "Darwin 4078"
shootout  "Shoot Out"
sidepckt  "Side Pocket"
exprraid  "Express Raider"
pcktgal   "Pocket Gal"
actfancr  "Act-Fancer Cybernetick Hyper Weapon"
triothep  "Trio The Punch - Never Forget Me..."
lastmiss  "Last Mission"
shackled  "Shackled"
csilver   "Captain Silver"
ghostb    "Real Ghostbusters, The"
srdarwin  "Super Real Darwin"
gondo     "Gondomania"
garyoret  "Garyo Retsuden"
cobracom  "Cobra-Command"
oscar     "Psycho-Nics Oscar"
karnov    "Karnov"
chelnov   "Chelnov - Atomic Runner"
hbarrel   "Heavy Barrel"
baddudes  "Bad Dudes vs. Dragonninja"
robocop   "Robocop"
hippodrm  "Hippodrome"
slyspy    "Sly Spy"
midres    "Midnight Resistance"
bouldash  "Boulder Dash / Boulder Dash Part 2"
stadhero  "Stadium Hero"
madmotor  "Mad Motor"
vaportra  "Vapor Trail - Hyper Offence Formation"
cbuster   "Crude Buster"
darkseal  "Dark Seal"
supbtime  "Super Burger Time"
cninja    "Caveman Ninja"
tumblep   "Tumble Pop"
senjyo    "Senjyo"
starforc  "Star Force"
bombjack  "Bomb Jack"
pbaction  "Pinball Action"
pontoon   "Pontoon"
tehkanwc  "Tehkan World Cup"
gridiron  "Gridiron Fight"
teedoff   "Tee'd Off"
solomon   "Solomon's Key"
rygar     "Rygar"
gemini    "Gemini Wing"
silkworm  "Silkworm"
gaiden    "Ninja Gaiden"
tknight   "Tecmo Knight"
wc90      "World Cup 90"
tutankhm  "Tutankham"
junofrst  "Juno First"
pooyan    "Pooyan"
timeplt   "Time Pilot"
psurge    "Power Surge"
megazone  "Mega Zone"
pandoras  "Pandora's Palace"
gyruss    "Gyruss"
trackfld  "Track & Field"
rocnrope  "Roc'n Rope"
circusc   "Circus Charlie"
tp84      "Time Pilot '84"
hyperspt  "Hyper Sports"
sbasketb  "Super Basketball"
mikie     "Mikie"
roadf     "Road Fighter"
yiear     "Yie Ar Kung-Fu"
kicker    "Kicker"
pingpong  "Ping Pong"
gberet    "Green Beret"
mrgoemon  "Mr. Goemon"
jailbrek  "Jail Break"
finalizr  "Finalizer - Super Transformation"
ironhors  "Iron Horse"
jackal    "Jackal"
ddribble  "Double Dribble"
contra    "Contra"
combasc   "Combat School"
rockrage  "Rock 'n Rage"
mx5000    "MX5000"
thehustl  "Hustler, The"
battlnts  "Battlantis"
bladestl  "Blades of Steel"
hcastle   "Haunted Castle"
ajax      "Ajax"
scontra   "Super Contra"
thunderx  "Thunder Cross"
mainevt   "Main Event, The"
devstors  "Devastators"
88games   "'88 Games"
gbusters  "Gang Busters"
crimfght  "Crime Fighters"
bottom9   "Bottom of the Ninth"
quarth    "Quarth"
aliens    "Aliens"
surpratk  "Surprise Attack"
parodius  "Parodius DA!"
rollerg   "Rollergames"
simpsons  "Simpsons, The"
vendetta  "Vendetta"
wecleman  "WEC Le Mans 24"
hotchase  "Hot Chase"
nemesis   "Nemesis"
konamigt  "Konami GT"
salamand  "Salamander"
twinbee   "TwinBee"
gwarrior  "Galactic Warriors"
devilw    "Devil World"
vulcan    "Vulcan Venture"
cuebrick  "Cuebrick"
fround    "Final Round"
mia       "Missing in Action"
tmnt      "Teenage Mutant Ninja Turtles"
punkshot  "Punk Shot"
lgtnfght  "Lightning Fighters"
detatwin  "Detana!! Twin Bee"
tmnt2     "Teenage Mutant Ninja Turtles - Turtles in Time"
ssriders  "Sunset Riders"
xmen      "X-Men"
sidetrac  "Side Track"
targ      "Targ"
spectar   "Spectar"
venture   "Venture"
mtrap     "Mouse Trap"
pepper2   "Pepper II"
hardhat   "Hard Hat"
fax       "Fax"
circus    "Circus"
robotbwl  "Robot Bowl"
crash     "Crash"
ripcord   "Rip Cord"
starfire  "Star Fire"
fireone   "Fire One"
crossbow  "Crossbow"
cheyenne  "Cheyenne"
combat    "Combat"
cracksht  "Crackshot"
claypign  "Clay Pigeon"
chiller   "Chiller"
topsecex  "Top Secret"
hitnmiss  "Hit 'n Miss"
whodunit  "Who Dunit"
showdown  "Showdown"
asteroid  "Asteroids"
astdelux  "Asteroids Deluxe"
bwidow    "Black Widow"
bzone     "Battle Zone"
gravitar  "Gravitar"
llander   "Lunar Lander"
redbaron  "Red Baron"
spacduel  "Space Duel"
tempest   "Tempest"
starwars  "Star Wars"
esb       "Empire Strikes Back, The"
mhavoc    "Major Havoc"
quantum   "Quantum"
sprint1   "Sprint 1"
sbrkout   "Super Breakout"
dominos   "Dominos"
nitedrvr  "Night Driver"
bsktball  "Basketball"
copsnrob  "Cops'n Robbers"
avalnche  "Avalanche"
subs      "Subs"
atarifb   "Atari Football"
abaseb    "Atari Baseball"
soccer    "Atari Soccer"
canyon    "Canyon Bomber"
skydiver  "Sky Diver"
warlord   "Warlords"
centiped  "Centipede"
milliped  "Millipede"
qwakprot  "Qwak"
kangaroo  "Kangaroo"
arabian   "Arabian"
missile   "Missile Command"
foodf     "Food Fight"
liberatr  "Liberator"
ccastles  "Crystal Castles"
cloak     "Cloak & Dagger"
cloud9    "Cloud 9"
jedi      "Return of the Jedi"
marble    "Marble Madness"
peterpak  "Peter Pack-Rat"
indytemp  "Indiana Jones and the Temple of Doom"
roadrunn  "Road Runner"
roadblst  "Road Blasters"
paperboy  "Paperboy"
ssprint   "Super Sprint"
csprint   "Championship Sprint"
720       "720 Degrees"
apb       "APB"
gauntlet  "Gauntlet"
gaunt2    "Gauntlet II"
vindctr2  "Vindicators Part II"
atetris   "Tetris"
toobin    "Toobin'"
vindictr  "Vindicators"
klax      "Klax"
blstroid  "Blasteroids"
xybots    "Xybots"
eprom     "Escape from the Planet of the Robot Monsters"
skullxbo  "Skull & Crossbones"
badlands  "Bad Lands"
cyberbal  "Cyberball"
rampart   "Rampart"
shuuz     "Shuuz"
hydra     "Hydra"
pitfight  "Pit Fighter"
thunderj  "ThunderJaws"
batman    "Batman"
relief    "Relief Pitcher"
offtwall  "Off the Wall"
arcadecl  "Arcade Classics"
sparkz    "Sparkz"
sasuke    "Sasuke vs. Commander"
satansat  "Satan of Saturn"
vanguard  "Vanguard"
fantasy   "Fantasy"
pballoon  "Pioneer Balloon"
nibbler   "Nibbler"
joyfulr   "Joyful Road"
marvins   "Marvin's Maze"
madcrash  "Mad Crasher"
vangrd2   "Vanguard II"
hal21     "HAL21"
aso       "ASO - Armored Scrum Object"
tnk3      "TNK III"
athena    "Athena"
fitegolf  "Fighting Golf"
ikari     "Ikari Warriors"
victroad  "Victory Road"
gwar      "Guerrilla War"
bermudat  "Bermuda Triangle"
psychos   "Psycho Soldier"
chopper   "Chopper I"
tdfever   "TouchDown Fever"
ikari3    "Ikari III - The Rescue"
pow       "P.O.W. - Prisoners of War"
searchar  "SAR - Search And Rescue"
streetsm  "Street Smart"
prehisle  "Prehistoric Isle in 1930"
timesold  "Time Soldiers"
skysoldr  "Sky Soldiers"
goldmedl  "Gold Medalist"
skyadvnt  "Sky Adventure"
gangwars  "Gang Wars"
sbasebal  "Super Champion Baseball"
scregg    "Scrambled Egg"
tagteam   "Tag Team Wrestling"
ssozumo   "Syusse Oozumou"
mystston  "Mysterious Stones"
bogeyman  "Bogey Manor"
matmania  "Mat Mania"
maniach   "Mania Challenge"
renegade  "Renegade"
xsleena   "Xain'd Sleena"
battlane  "Battle Lane Vol. 5"
ddragon   "Double Dragon"
ddragon2  "Double Dragon II - The Revenge"
ctribe    "Combatribes, The"
blockout  "Block Out"
ddragon3  "Double Dragon 3 - The Rosetta Stone"
berzerk   "Berzerk"
frenzy    "Frenzy"
megatack  "MegaTack"
killcom   "Killer Comet"
challeng  "Challenger"
kaos      "Kaos"
route16   "Route 16"
stratvox  "Stratovox"
monymony  "Money Money"
jackrabt  "Jack Rabbit"
nova2001  "Nova 2001"
pkunwar   "Penguin-Kun Wars"
ninjakd2  "Ninja Kid II"
mnight    "Mutant Night"
arkarea   "Ark Area"
narc      "Narc"
trog      "Trog"
smashtv   "Smash T.V."
hiimpact  "High Impact Football"
shimpact  "Super High Impact"
strkforc  "Strike Force"
mk        "Mortal Kombat"
term2     "Terminator 2 - Judgment Day"
totcarn   "Total Carnage"
mk2       "Mortal Kombat II"
nbajam    "NBA Jam"
jack      "Jack the Giantkiller"
zzyzzyxx  "Zzyzzyxx"
freeze    "Freeze"
sucasino  "Super Casino"
spacewar  "Space Wars"
barrier   "Barrier"
starcas   "Star Castle"
tailg     "Tailgunner"
ripoff    "Rip Off"
armora    "Armor Attack"
wotw      "War of the Worlds"
warrior   "Warrior"
starhawk  "Star Hawk"
solarq    "Solar Quest"
boxingb   "Boxing Bugs"
speedfrk  "Speed Freak"
sundance  "Sundance"
demon     "Demon"
cchasm    "Cosmic Chasm"
roundup   "Round-Up"
thepit    "Pit, The"
intrepid  "Intrepid"
portman   "Port Man"
suprmous  "Super Mouse"
machomou  "Macho Mouse"
bagman    "Bagman"
sbagman   "Super Bagman"
pickin    "Pickin'"
stinger   "Stinger"
scion     "Scion"
wiz       "Wiz"
empcity   "Empire City: 1931"
dynduke   "Dynamite Duke"
raiden    "Raiden"
dcon      "D-Con"
cabal     "Cabal"
toki      "Toki"
bloodbro  "Blood Bros."
exerion   "Exerion"
formatz   "Formation Z"
citycon   "City Connection"
psychic5  "Psychic 5"
ginganin  "Ginga NinkyouDen"
cischeat  "Cisco Heat"
f1gpstar  "F1 Grand Prix Star"
lomakai   "Legend of Makai"
p47       "P-47 - The Phantom Fighter"
kickoff   "Kick Off"
astyanax  "Astyanax, The"
hachoo    "Hachoo!"
plusalph  "Plus Alpha"
stdragon  "Saint Dragon"
iganinju  "Iga Ninjyutsuden"
rodland   "RodLand"
64street  "64th. Street - A Detective Story"
edf       "Earth Defense Force"
avspirit  "Avenging Spirit"
bigstrik  "Big Striker"
chimerab  "Chimera Beast"
cybattlr  "Cybattler"
peekaboo  "Peek-a-Boo!"
pspikes   "Power Spikes"
turbofrc  "Turbo Force"
aerofgt   "Aero Fighters"
marineb   "Marine Boy"
changes   "Changes"
springer  "Springer"
hoccer    "Hoccer"
hopprobo  "Hopper Robo"
wanted    "Wanted"
funkybee  "Funky Bee"
skylancr  "Sky Lancer"
zodiack   "Zodiack"
dogfight  "Dog Fight"
moguchan  "Moguchan"
percuss   "Percussor, The"
espial    "Espial"
vastar    "Vastar"
pong      "Pong"
spacefb   "Space Firebird"
blueprnt  "Blue Print"
saturn    "Saturn"
omegrace  "Omega Race"
tankbatt  "Tank Battalion"
dday      "D-Day"
gundealr  "Gun Dealer"
yamyam    "Yam! Yam!?"
leprechn  "Leprechaun"
hexa      "Hexa"
redalert  "Red Alert"
irobot    "I, Robot"
spiders   "Spiders"
stactics  "Space Tactics"
exterm    "Exterminator"
sharkatt  "Shark Attack"
kingofb   "King of Boxer"
zerozone  "Zero Zone"
exctsccr  "Exciting Soccer"
speedbal  "Speed Ball"
sauro     "Sauro"
galpanic  "Gals Panic"
airbustr  "Air Buster"
ambush    "Ambush"
starcrus  "Star Cruiser"
goindol   "Goindol"
goldstar  "Golden Star"
csk227it  "Champion Skill"
meteor    "Meteoroids"
